primerid	coef	ci.hi	ci.lo	z	pval	p_adj	contrast
AC090579.1	-1.1992861559454155	-0.925268930746463	-1.473303381144368	-8.57813836741051	6.22857984295283e-9	3.79756513024834e-5	DiagnosismitoPD
AC090709.1	-1.0081453895077388	-0.7153189669346525	-1.3009718120808251	-6.747781287127877	1.9608951764884137e-7	0.0011935968939284975	DiagnosismitoPD
LRRTM4-AS1	-0.7287370896027641	-0.4961856290615674	-0.9612885501439608	-6.141859726427868	3.893092941761234e-9	2.3747866944743528e-5	DiagnosismitoPD
SLC8A1-AS1	-1.2689678711226842	-0.8492351889276173	-1.688700553317751	-5.925512666614448	4.5620007847425125e-7	0.0027714154767310762	DiagnosismitoPD
HNRNPDL	-0.44517457637359126	-0.29758773889672635	-0.5927614138504562	-5.911950899157167	0.01769805752928923	1	DiagnosismitoPD
PSAP	-0.4637093561833714	-0.3081193501380874	-0.6192993622286553	-5.8413368603452875	3.622205947111624e-7	0.002201214554059734	DiagnosismitoPD
GABRG3-AS1	-0.6280302256868451	-0.4169234365536917	-0.8391370148199985	-5.8307770612360095	6.304443451677969e-8	3.8400365064170507e-4	DiagnosismitoPD
AC005400.1	-0.6786873935305247	-0.4496453451089206	-0.9077294419521287	-5.807679669510506	1.0812729285525254e-5	0.0649088139010081	DiagnosismitoPD
AC096576.2	-0.7005705887443456	-0.46323559479257925	-0.937905582696112	-5.785464249094226	1.8074195204905078e-7	0.0011003570040746212	DiagnosismitoPD
MEF2C-AS2	-0.5913243556634971	-0.38970761359061373	-0.7929410977363804	-5.748403770272434	2.8478829212987273e-5	0.16993317391389506	DiagnosismitoPD
UBE3A	-1.0760545850747123	-0.7082909894771718	-1.4438181806722528	-5.734738993724729	4.5108915814693845e-5	0.2681725045183549	DiagnosismitoPD
SCN1A-AS1	-0.5995395834446295	-0.39273040835371853	-0.8063487585355406	-5.681933552227892	1.133050787180617e-6	0.006873086075037622	DiagnosismitoPD
MIR124-1HG	-0.395153096692499	-0.2581343142550482	-0.5321718791299498	-5.652406364436385	9.018900151668484e-6	0.0542306466119826	DiagnosismitoPD
AC016042.1	-0.9736845969915553	-0.6343232899793834	-1.3130459040037272	-5.623465913680007	1.5477809687703754e-6	0.009379552670748475	DiagnosismitoPD
TMEM14A	-0.408992620839399	-0.26355492260839797	-0.5544303190704001	-5.511712688925097	4.4971932708715255e-5	0.2674031118860209	DiagnosismitoPD
AC004594.1	-1.5439891763566953	-0.99263923073726	-2.0953391219761306	-5.488643287665377	3.59606354610995e-7	0.0021856874233256275	DiagnosismitoPD
AC090531.1	-0.6817998708484083	-0.4370831858153512	-0.9265165558814654	-5.460613326575702	2.457382285262617e-7	0.0014953171205823023	DiagnosismitoPD
CTNNA3	-1.3602455941639118	-0.87090437067512	-1.8495868176527035	-5.448207195140628	9.446425660329379e-7	0.0057330357332539	DiagnosismitoPD
EYS	-0.572799923756425	-0.36390917918010635	-0.7816906683327436	-5.374422994120321	1.8125220072195758e-6	0.01098025831973619	DiagnosismitoPD
RNF217-AS1	-0.6392955414274262	-0.40576887636772707	-0.8728222064871253	-5.365538176783672	3.84164095775354e-5	0.22869288621506823	DiagnosismitoPD
AL160254.1	-0.8174963557942432	-0.5179286295927095	-1.117064081995777	-5.348584893192193	4.303305129992933e-6	0.025991962985157314	DiagnosismitoPD
LINC00513	-0.6117171703652016	-0.3873039682443579	-0.8361303724860452	-5.342571699480191	3.1725267440000374e-8	1.9330205451192228e-4	DiagnosismitoPD
CHRM3-AS2	-0.5985247529718887	-0.378644256101815	-0.8184052498419623	-5.335111464541604	3.391221918865575e-6	0.0204999364995424	DiagnosismitoPD
AC015923.1	-0.7294239605053336	-0.46114851768149395	-0.9976994033291733	-5.3290181054319685	7.70843708501725e-7	0.0046797921543139725	DiagnosismitoPD
DPP10-AS1	-0.41506922944844193	-0.26033008370300026	-0.5698083751938836	-5.257368695495094	4.7550436443251804e-9	2.9001011186739275e-5	DiagnosismitoPD
AC016598.2	-0.7863472751668539	-0.49165879168502197	-1.0810357586486858	-5.22997139371841	3.4218728285729453e-6	0.020681799375894882	DiagnosismitoPD
BAALC-AS1	-0.47815058812502187	-0.29737871461102905	-0.6589224616390147	-5.184202131086206	2.3031380226104902e-7	0.0014016898005607442	DiagnosismitoPD
MAK	-0.4575269296022322	-0.28091511458894025	-0.6341387446155241	-5.077442321229068	4.2972014965456083e-7	0.0026109796293011115	DiagnosismitoPD
AL139294.1	-0.5014165319173687	-0.3042367894263672	-0.6985962744083701	-4.984073573662721	1.3605720808970406e-6	0.008249148526478758	DiagnosismitoPD
PRSS51	-0.510782462956537	-0.3098328529809999	-0.711732072932074	-4.981921743721468	3.3694627268098425e-7	0.002048970284173065	DiagnosismitoPD
PDE5A	-1.1358323912563213	-0.6861565356600459	-1.5855082468525967	-4.950656237445619	2.094834172262644e-5	0.12525013515958347	DiagnosismitoPD
GABPB1-AS1	-0.3618364009834689	-0.21747767215447758	-0.5061951298124603	-4.9126666601733575	1.0331078329508481e-4	0.610256796924066	DiagnosismitoPD
FAM3C	-0.3847837521917903	-0.22945355193070657	-0.540113952452874	-4.855220007857294	1.9068954075959701e-6	0.011550065483808792	DiagnosismitoPD
PIK3R1	-0.40090316117063907	-0.23836399777109854	-0.5634423245701796	-4.8342549619947794	0.0011332749657146034	1	DiagnosismitoPD
BEX2	-0.40042857431342593	-0.2378332673220124	-0.5630238813048395	-4.8268649234536705	7.477396436748463e-6	0.045021403945662494	DiagnosismitoPD
CELF2-AS2	-0.5249554769692817	-0.31112342708872376	-0.7387875268498396	-4.811691366759829	2.2921071220596784e-8	1.396810080183168e-4	DiagnosismitoPD
HHIP	-0.4958891853273033	-0.2888967868166207	-0.7028815838379859	-4.695462009993872	5.741657243132145e-7	0.0034869084437541514	DiagnosismitoPD
AL596451.1	-0.6305092242376467	-0.36581068202091954	-0.8952077664543738	-4.668614194385176	5.6568396506322765e-6	0.034122056772613894	DiagnosismitoPD
ANK2-AS1	-0.8897028670019891	-0.5138490668795457	-1.2655566671244325	-4.639531583019375	1.5870118615384554e-6	0.0096157048690615	DiagnosismitoPD
KLHL28	-0.3811319806420692	-0.22001505186307138	-0.5422489094210671	-4.636415062501162	1.0064089820398188e-5	0.06044492346131152	DiagnosismitoPD
PEX5L-AS2	-0.529444152946172	-0.3051814217399123	-0.7537068841524317	-4.627124025549406	8.418268663812026e-6	0.05064430428149315	DiagnosismitoPD
AC069228.1	-0.7920094603863417	-0.4563551934755564	-1.127663727297127	-4.624728986939487	5.092557830893636e-6	0.030738679067273986	DiagnosismitoPD
JAKMIP2-AS1	-0.39114074814048316	-0.22431316694437342	-0.5579683293365929	-4.595293978039621	5.996171379536057e-7	0.003640875261654294	DiagnosismitoPD
MFSD4B	-0.4591086868291132	-0.2629230021687007	-0.6552943714895257	-4.586657241236086	2.1000185762638696e-5	0.1255391104890541	DiagnosismitoPD
ZRANB2-AS2	-0.5474925359865326	-0.31304510738930885	-0.7819399645837564	-4.5769990260017295	6.7307603130780375e-6	0.040552830886295174	DiagnosismitoPD
RPS14	-0.4751336093761678	-0.2716604262639355	-0.6786067924884001	-4.5767444533865325	9.163907075633174e-5	0.5421367425944585	DiagnosismitoPD
STRADB	-0.5585813643542128	-0.3174997945957816	-0.799662934112644	-4.541198888270532	6.494688765107655e-8	3.955265457950562e-4	DiagnosismitoPD
RGS4	-0.4262571904246566	-0.24228137807693056	-0.6102330027723826	-4.541079236027543	5.835043600830861e-5	0.34648488901733654	DiagnosismitoPD
BASP1	-0.37698675013681093	-0.21412136827420222	-0.5398521319994196	-4.536755720993306	2.228963083186433e-4	1	DiagnosismitoPD
SNAP25-AS1	-0.8492234624515458	-0.4810268814558743	-1.2174200434472173	-4.520540078700512	7.741999599066202e-6	0.046606837586378534	DiagnosismitoPD
TOMM20	-0.4061956314217863	-0.22932021124010268	-0.5830710516034698	-4.501070908815009	6.649420961379163e-5	0.39451014563862574	DiagnosismitoPD
ARPP19	-0.39776195290038885	-0.22452460495119633	-0.5709993008495814	-4.500179154980612	7.005532018457788e-4	1	DiagnosismitoPD
AL357873.1	-0.4606877709070347	-0.2599707405954354	-0.661404801218634	-4.498529286200022	3.388651129200029e-6	0.020487784727143375	DiagnosismitoPD
STAT1	-0.8840086715915625	-0.4984216677513216	-1.2695956754318034	-4.493473952919928	6.913760376266374e-5	0.4098477151050706	DiagnosismitoPD
MGST3	-0.2812616074257013	-0.15702617305498212	-0.40549704179642043	-4.43724146480824	6.36724422510212e-5	0.3778959447598108	DiagnosismitoPD
AC058791.1	-0.2963772068544155	-0.16431136125242726	-0.4284430524564037	-4.398477506621036	9.311457280632811e-6	0.055952546799322565	DiagnosismitoPD
AL583808.1	-0.7732528667319722	-0.4282158529533297	-1.1182898805106147	-4.392420839548857	7.3400108081780415e-6	0.04420154508684817	DiagnosismitoPD
AL592043.1	-0.723714622003572	-0.39859544047959367	-1.0488338035275502	-4.36287575394073	6.055196519470752e-9	3.6924588375732644e-5	DiagnosismitoPD
AC011824.2	-0.6244837951951663	-0.3426686670607075	-0.906298923329625	-4.343151326239087	3.355617599966241e-5	0.19999480895798796	DiagnosismitoPD
AC023590.1	-0.706472191531871	-0.38503301067822476	-1.0279113723855173	-4.307689086950468	2.752678225277891e-7	0.0016747294322590688	DiagnosismitoPD
PCDH9-AS4	-0.5322403224350025	-0.2875373025531716	-0.7769433423168335	-4.263011807522223	2.000688571132132e-6	0.012114169298205059	DiagnosismitoPD
